_______________________________________________________________________________
|NOMBRE                   |TIPODATO      |VALOR                    |LONGITUD  |
_______________________________________________________________________________
|_-1.5                    |FLOAT         |-1.5                     |4         |
|_.9999                   |FLOAT         |.9999                    |5         |
|_1                       |INT           |1                        |1         |
|_2                       |INT           |2                        |1         |
|_27                      |INT           |27                       |2         |
|_3                       |INT           |3                        |1         |
|_34                      |INT           |34                       |2         |
|_4.1                     |FLOAT         |4.1                      |3         |
|_500                     |INT           |500                      |3         |
|_9                       |INT           |9                        |1         |
|_99.                     |FLOAT         |99.                      |3         |
|_99999.99                |FLOAT         |99999.99                 |8         |
|_@sdADaSjfla%dfg         |STRING        |@sdADaSjfla%dfg          |15        |
|_asldk  fh sjf           |STRING        |asldk  fh sjf            |13        |
|a                        |FLOAT         |                         |0         |
|a1                       |FLOAT         |                         |0         |
|b                        |STRING        |                         |0         |
|b1                       |FLOAT         |                         |0         |
|p1                       |STRING        |                         |0         |
|p2                       |STRING        |                         |0         |
|p3                       |STRING        |                         |0         |
|variable1                |INTEGER       |                         |0         |
_______________________________________________________________________________
